1,0,1695,386,136,342,1,-1,-1,-1
1,1,255,459,103,246,1,-1,-1,-1
1,2,1885,380,34,202,1,-1,-1,-1
1,3,2,306,81,614,1,-1,-1,-1
1,4,1284,463,74,195,1,-1,-1,-1
2,1,259,456,106,247,1,-1,-1,-1
2,0,1694,387,126,341,1,-1,-1,-1
2,2,1884,376,35,215,1,-1,-1,-1
2,3,2,309,86,603,1,-1,-1,-1
2,5,1255,532,53,126,1,-1,-1,-1
2,6,120,510,69,236,1,-1,-1,-1
2,4,1287,465,80,192,1,-1,-1,-1
2,7,1332,488,47,158,1,-1,-1,-1
3,1,263,457,99,245,1,-1,-1,-1
3,0,1691,390,120,340,1,-1,-1,-1
3,2,1883,376,35,215,1,-1,-1,-1
3,3,0,313,117,590,1,-1,-1,-1
3,6,115,509,74,237,1,-1,-1,-1
3,5,1257,535,50,121,1,-1,-1,-1
3,4,1288,462,79,194,1,-1,-1,-1
3,8,1725,399,143,335,1,-1,-1,-1
3,7,1331,485,49,162,1,-1,-1,-1
4,1,259,457,108,248,1,-1,-1,-1
4,3,1,299,113,594,1,-1,-1,-1
4,0,1693,392,114,340,1,-1,-1,-1
4,2,1880,374,38,218,1,-1,-1,-1
4,6,114,503,77,243,1,-1,-1,-1
4,8,1761,458,100,276,1,-1,-1,-1
4,4,1287,444,74,210,1,-1,-1,-1
4,5,1260,534,48,122,1,-1,-1,-1
4,7,1334,488,47,160,1,-1,-1,-1
5,1,259,460,101,247,1,-1,-1,-1
5,3,0,242,128,662,1,-1,-1,-1
5,6,115,517,74,228,1,-1,-1,-1
5,2,1878,365,40,227,1,-1,-1,-1
5,0,1698,388,115,343,1,-1,-1,-1
5,4,1290,461,81,198,1,-1,-1,-1
5,7,1332,485,51,165,1,-1,-1,-1
6,3,0,228,131,671,1,-1,-1,-1
6,1,261,458,101,249,1,-1,-1,-1
6,0,1697,386,123,349,1,-1,-1,-1
6,2,1876,364,42,227,1,-1,-1,-1
6,6,117,514,72,229,1,-1,-1,-1
6,4,1289,461,84,197,1,-1,-1,-1
6,7,1330,479,54,174,1,-1,-1,-1
7,3,1,231,143,672,1,-1,-1,-1
7,1,269,455,96,251,1,-1,-1,-1
7,0,1694,383,126,355,1,-1,-1,-1
7,2,1867,367,50,219,1,-1,-1,-1
7,6,115,516,74,228,1,-1,-1,-1
7,4,1295,454,85,207,1,-1,-1,-1
8,3,0,230,153,677,1,-1,-1,-1
8,1,273,456,91,251,1,-1,-1,-1
8,0,1694,383,136,356,1,-1,-1,-1
8,2,1867,367,49,220,1,-1,-1,-1
8,4,1293,453,87,210,1,-1,-1,-1
8,6,118,517,71,225,1,-1,-1,-1
9,3,1,234,157,671,1,-1,-1,-1
9,0,1693,385,139,354,1,-1,-1,-1
9,1,276,457,90,247,1,-1,-1,-1
9,2,1868,371,49,216,1,-1,-1,-1
9,4,1300,457,82,205,1,-1,-1,-1
9,6,116,513,74,229,1,-1,-1,-1
10,3,0,244,166,653,1,-1,-1,-1
10,0,1690,390,135,348,1,-1,-1,-1
10,2,1877,370,42,224,1,-1,-1,-1
